publisher_1,publisher_2,publisher_3,registration_1,registration_2,registration_3,registration_4,registration_5,registration_6,registration_7,results_1,results_2,results_3,results_4,results_5,results_6,results_7,results_8,results_9,results_10,results_11,results_12,results_13,results_14,results_15,csrs_1,csrs_2,csrs_3,csrs_4,csrs_5,csrs_6,csrs_7,csrs_8,csrs_9,csrs_10,csrs_11,csrs_12,csrs_13,csrs_14,ipd_1,ipd_2,ipd_3,ipd_4,ipd_5,ipd_6,ipd_7,ipd_8,ipd_9,registration_percentage,registration_percentage_of_total,registration,results_percentage,results_percentage_of_total,results,csrs_percentage,csrs_percentage_of_total,csrs,ipd_percentage,ipd_percentage_of_total,ipd,total,registration_rank,results_rank,csrs_rank,ipd_rank,total_rank
Bayer HealthCare LLC,$47bn,"Xarelto, Eylea, Kogenate",yes,"yes / ""Bayer has implemented a thorough monitoring and quality control process to ensure that high standards for transparency of clinical trial information for Bayer medicines are fully met and that information on clinical trials as outlined in this policy is publicly disclosed in time and is of high quality. """,no,no,yes,yes,trials started after 2005 / 2005,yes,"NO / Timeline commitment is not firm: ""The study result information is usually available within 12 months of the trial completion date.""","NO / Timeline commitment is not firm: ""The study result information is usually available within 12 months of the trial completion date.""",no,NO,NO,yes,yes,yes,yes,no,NO,NO,yes,completed after JULY 2005 / 2004,yes,yes,yes / Laborious application process like IPD.,,"no / ""Trials in patients sponsored by Bayer that have been submitted to the US and EU regulatory agencies as part of the request for marketing authorization for new medicines and indications""",no,no,yes,yes / LABORIOUS LIKE IPD,no,no,no,products approved IN BOTH EU AND US after 2014... Trials in patients sponsored by Bayer that have been submitted to the US and EU regulatory agencies as part of the request for marketing authorization for new medicines and indications / 2012,"as ipd NOTE EXCLUDES PH4, and: ""Trials in patients sponsored by Bayer that have been submitted to the US and EU regulatory agencies as part of the request for marketing authorization for new medicines and indications""",yes,"products approved IN BOTH EU AND US after 2014, ""Trials in patients sponsored by Bayer that have been submitted to the US and EU regulatory agencies as part of the request for marketing authorization for new medicines and indications"" / 2012",no,no,no,yes,yes,see doc,,61.6,15.4,308,27,6.8,135,23.2,5.8,116,14.5,3.6,72.5,631.5,6,14,12,22,11
Eli Lilly and Company,$21bn,"Humalog, Cialis, Alimta",yes,no,no,no,UNCLEAR,yes,2004 NOS / 2004,yes / BECAUSE OF SYNOPSES POLICY,no,no / no timeline given,no,NO,NO,yes,yes,no,yes,no / ONLY COMMIT ON PH3,no,no,yes,started after 2002 / 2003,yes,yes,yes / LABORIOUS PROCESS LIKE IPD,,no,no,no,yes,yes,no,no,no,started after 2007 IF SYNOPSES ONLY THEN 2002 / 2008,,yes,2014 BUT CAN BE SAID TO GO BACK FURTHER IF YOU ALLOW FOR RESTRICTIONS LIKE ONLY MULTICENTRE GLOBAL STUDIES / 2014,no,no,yes,yes,yes,see document,,44.4,11.1,222,28,7,140,26.4,6.6,132,27,6.8,135,629,19,13,9,14,12
Bristol-Myers Squibb Company,$19.5bn,"Eliquis, Sprycel, Daklinza",yes,no,no,no,yes,NO,,yes,"no / no timeline, no reference to legislation",no,no,no,no,yes,yes,yes,yes,yes / all ph3+4 submit,no,no,yes,completed after 2008 / 2007,yes,yes,yes / LABORIOUS PROCESS LIKE IPD,,no,no,no,yes,yes,no,no,no,completed after 2008 / 2007,as ipd,yes,completed after 2008 / 2007,no,no,yes,yes,unclear,see doc,,40,10,200,24,6,120,27.2,6.8,136,34,8.5,170,626,24,19,8,7,13
Merck KGaA & Merck (EMD) Serono,$17bn,"Rebif, Erbitux, Gonal-F",yes,no,no,no,yes,yes,2014 NOS / 2014,yes,yes,no,no,no,no,YES,yes,yes,no,no,no,no,YES,2014 / 2014,yes,yes,yes / ONEROUS APPLICATION PROCESS AS PER IPD,,no,no,no,yes,yes,no,no,no,products approved after 2014 IN BOTH EU AND US / 2012,"lots eg ""In addition, data will not be shared with Merck Serono competitors.""",yes,products approved IN BOTH EU AND US after 2014 / 2012,no,no,YES,yes,"no / ""Data will not be shared for products and indications approved prior to January 1, 2014.""",see doc,,43.2,10.8,216,27,6.8,135,23.2,5.8,116,29,7.2,145,612,21,16,13,10,14
Johnson & Johnson,$72bn,"Remicade, Stelara, Zytiga",yes,UNCLEAR,no,no,yes,yes,ongoing or started after 2005 / 2005,yes,NO / pollicy is to comply with legislation ie not all trials,no,no,UNCLEAR,UNCLEAR,yes,no,,,,,,,,yes,yes,yes / LABORIOUS PROCESS LIKE IPD,,no,no,no,yes,yes,no,no,no,"missing MAYBE ALL / NOTABLE THAT NO DATE, POSSIBLY ALL",,yes,missing,no,no,yes,yes,yes,see document,,57.6,14.4,288,15,3.8,75,20,5,100,25,6.3,125,588,12,23,24,16,15
Astellas Pharma,$12bn,"Xtandi, Vesicare, Prograf",yes,no,no,no,yes,yes,"None given, therefore Jan 2015, date of document. / 2015","yes / There is some ambiguity and lack of clarity here, as their policy may be read to cover only trials included in the application package for regulatory approval: ""Astellas commits to disclosing summary results of all Astellas sponsored phase 1 to phase 4 interventional trials, in patients, that seek to evaluate the safety and efficacy profile for Astellas products that have regulatory approval. This policy applies to products that receive regulatory approval after January 1, 2014 consistent with the European Federation of Pharmaceutical Industries and Associations (EFPIA) and the Pharmaceutical Research and Manufacturers of America (PhRMA) principles for responsible clinical trial data sharing dated July 18, 2013, and includes the summary results for trials covered under this policy and included in the application to support regulatory approval."" However overall our reading of this is ""all"".","no / no timeline given, but do commit to share ""Astellas commits to disclosing summary results of all Astellas sponsored phase 1 to phase 4 interventional trials, in patients, that seek to evaluate the safety and efficacy profile for Astellas products that have regulatory approval.""",no,no,no,no,YES,YES,"UNCLEAR / Unclear because they don't say where: ""Summary results will be posted on a publicly available website, including national clinical trial databases as and when required by law or regulation.""",UNCLEAR,no,no,UNCLEAR,YES,COMPLETED OR APPROVED AFTER JAN 1 2014,yes,yes,"yes / Not prospective sharing: laborious application process, like IPD.",,no / Must be approved in *both* US and EU.,no,no,yes,yes,no,no,no,completed after 2010 AND APPROVED IN BOTH US AND EU! / 2012,as IPD,yes,completed after 2010 AND APPROVED IN BOTH US EU / 2008,no,no,yes,yes,yes,see doc,,41.6,10.4,208,17,4.3,85,23.2,5.8,116,33,8.3,165,574,22,22,15,9,16
"Otsuka Pharmaceutical Co., Ltd",$11bn,"Abilify, Samsca",yes,no,no,no,yes ,no,missing,yes ,no,no,no,yes,yes,yes,no,,,,,,,,"yes / Unusual policy, as commits to proactively post CSR summaries, and only share CSRs on request when they are unable to share IPD.",yes,no,,"no / ""for all studies in patients included in marketing authorization submissions filed with US Food and Drug Administration, the European Medicines Agency and the Pharmaceuticals and Medical Devices Agency (PMDA) in Japan on or after January 1, 2014.""",no,yes,yes,no,no,no,yes,"""for all studies in patients included in marketing authorization submissions filed with US Food and Drug Administration, the European Medicines Agency and the Pharmaceuticals and Medical Devices Agency (PMDA) in Japan on or after January 1, 2014."" / 2013",,yes,"""Otsuka is committed to consider sharing patient-level data filed with the US and EU medicines regulatory agencies on or after January 1, 2014. Clinical studies will be listed on the website after regulatory approval(s)."" / 2013",no,no,yes,yes,,,,40,10,200,30,7.5,150,5.6,1.4,28,28,7,140,518,31,12,27,13,17
AstraZeneca Pharmaceuticals LP,$23bn,"Crestor, Symbicort, Nexium",yes,no,no,no,yes,yes,2010 NOS / 2010,yes,"YES / AZ’s policy document makes a number of commitments on posting summary results within 12 months, spread over various parts of the document. These commitments are longstanding (“Since 2005, we have posted results of trials with already marketed medicines within one year of completion”). They commit to sharing results on EUCTR within 12 months (although this register, similar to ct.gov in its results-reporting facility, only permits entries for trials within the EUCTR criteria, while ct.gov permits any trial to be entered). AZ also commit to sharing results on ct.gov: “Since 2007 we have posted results as required on the US National Library of Medicine’s website and other sites as required by law.”. The interpretation of the phrase “as required” could be interpreted to either mean (a) compliance with the law (in which case they would not score, as discussed in the question text) or (b) as required by their policy. We took it to be the latter, especially since “as required by law” is included as a separate element elsewhere in the sentence, where it is used apparently in relation to other sites. This is a close call, made under our principle of assuming good faith when reading policy documents.","Yes / They say they will post this information within a year. It is not consistently made clear where, but appears to be to their own site.",no,no,no,YES,yes,"UNCLEAR / ""Since 2007 we have posted results as required on the US National Library of Medicine’s website and other sites as required by law"" however there is an additional commitment to ""all"".",YES,no,no,no,YES,Completed after Jan 2005 / 2004,YES,UNCLEAR / APPARENTLY ONLY WHAT EU REGULATIONS REQUIRE,UNCLEAR,,UNCLEAR,UNCLEAR,NO,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,NO,,,yes,2009 NOS / 2009,unclear,unclear,unclear,unclear,yes,see doc and site,,49.6,12.4,248,37,9.3,185,0,0,0,16,4,80,513,17,7,29,20,18
"Daiichi Sankyo, Inc ",$9bn,"Olmetec, Effient, Lixiana, Benicar","YES / ""To ensure transparency we disclose information relating to our clinical studies in accordance with the regulations of the respective country, the Joint Position on the Disclosure of Clinical Trial Information via Clinical Trial Registries and Databases"" therefore inherit joint position score: note all other companies making allusion to this document either exceed the commitments of the Joint Position, or fall short on specifically described elements, or don't make a clear commitment to adhere to it.  ",no,no,no,yes,UNCLEAR,MISSING You cannot inherit a start date by stating compliance with a joint position,yes,no,"yes / ""results should be posted no later than one year after the medicinal product is first approved and commercially available in any country.""",no,no,no,unclear,UNCLEAR,,,,,,,,yes,yes,yes / laborious and through CSDR,,no,no,no,yes,yes / approval thru CSDR,no,no,no,"""studies in patients that form part of the submission package for medicines and indications approved in the United States (US) and the European Union (EU), after 1 January 2014"" AND: ""Studies are listed after the medicine and indication have received EU and US marketing approval, on or after the 1 January 2014 and after the results from the studies have been accepted for publication."" / 2012","""Daiichi Sankyo will list Phase 2, Phase 3 and Phase 4 Daiichi Sankyo-sponsored interventional clinical studies in patients that form part of the submission package for medicines and indications approved in the United States (US) and the European Union (EU), after 1 January 2014""",yes,"""studies in patients that form part of the submission package for medicines and indications approved in the United States (US) and the European Union (EU), after 1 January 2014"" AND: ""Studies are listed after the medicine and indication have received EU and US marketing approval, on or after the 1 January 2014 and after the results from the studies have been accepted for publication."" / 2012",no,no,yes,YES,yes,see policy,,40,10,200,10,2.5,50,23.2,5.8,116,29,7.2,145,511,26,29,17,11,19
UCB,$4.5bn,"Cimzia, Vimpat, Keppra",yes,no,no,no,yes,yes,trials started after 2004 / 2005,yes,no / no timeline given,no / no timeline given,no / no timeline given,no,unclear,yes,yes,yes,yes,yes,no,unclear,yes,trials started after 2004 / 2005,yes,yes,yes / LABORIOUS PROCESS LIKE IPD,,no,no,yes,yes,unclear,no,NO,yes,trials submitted to regulators after 2014 / 2013,"""Following approval of a new medicine or new indication for an approved medicine, UCB pledges to make available the synopses of Clinical Study Reports (CSRs) for clinical studies in patients submitted to regulatory authorities on or after January 1, 2014.  The synopses of CSRs will be redacted to protect patient privacy, publication rights, intellectual property, and trade secret and confidential commercial information.""",yes,missing,no,NO,UNCLEAR,yes,yes,"""This listing reflects the clinical study data provided by UCB on the Multi-Sponsor Analysis Hosting System and that are being prepared for data sharing. This list includes clinical studies that were considered ‘pivotal studies’ for purposes of regulatory approval of certolizumab pegol, lacosamide, rotigotine and levetiracetam. Requests for access to additional clinical study data will be considered on a case-by-case basis.Clinical studies of rare diseases, small number of subjects or small number of investigative sites; where there is reasonable likelihood that the individual participants could be re-identified..Access to data is determined by the Independent Review Panel based on the scientific merit of the research proposal. In exceptional circumstances, access to data may be declined by the sponsor, for example, where there is a potential conflict of interest or an actual or potential competitive risk.Studies are considered for inclusion after the medicine studied has been approved by the regulatory authorities (first approval in the respective indication) or terminated from development (all indications) and the primary manuscript describing the results has been accepted for publication.When patients agreed to take part in UCB clinical studies they gave permission (through informed consent) to use their data to study the medicine or disease UCB were researching. Further research must therefore study the medicine or disease that was researched in the original studies. For studies starting January 2014, patients will be asked if they agree to give permission for data usage in analyses by UCB or outside academic researchers to answer additional scientific questions related to the study drug/condition. UCB will take appropriate measures to protect this information and will only use and share coded data for this additional research. A condition of providing the data to an external researcher is that the external researcher seeks publication of his/her research results in a peer-reviewed journal. UCB is to be provided with a copy of the manuscript for review prior to journal submission to prevent the unintended disclosure of UCB’s confidential information. UCB will not seek to influence the content of a publication or the opinion of the external researcher through the review of the publication. UCB supports publications that contain scientifically and/or clinically meaningful results. Other than identification of UCB’s confidential information, the final decision whether to accept any comments made by UCB remains with the external researcher.Where available, the following anonymised patient level data and information is provided in English only for each clinical study.Raw dataset. This is the data collected for each patient in the clinical study. Analysis-ready dataset. This is the dataset used for UCB’s analysis. Protocols with any amendments. This describes the objectives, design, methodology, statistical considerations, and organisation of a clinical study. Annotated case report form. This is a blank case report form with descriptions of the data collected and how they are described in the dataset. Statistical analysis plan with any amendments. This describes methods of analysis and procedures for data handling UCB used for the study. Dataset specifications. This is the meta-data which describes the datasets e.g., variable labels, variable descriptions, code lists, formats. Clinical study report. This is the report of efficacy and safety data from the study. It forms the basis of submissions to regulatory authorities such as the Food and Drug Administration (FDA) and the European Medicines Agency (EMA). Appendices which include patient level data, confidential information, or investigator specific information are not included. To protect research participants’ privacy and confidentiality, case narratives are not included. The clinical study report has been redacted by UCB with respect to the commercially confidential information and anonymised to protect patient privacy.YESWhether the studies have been published or accepted for publication and whether the studies researched terminated or authorised medicines (for approved uses). Whether UCB are able to provide the requested data. For example, the majority of non-interventional (or observational) studies use data from third party databases under license agreements which prevent UCB from providing access to the data. Researchers can access data directly from these third party databases under similar agreements. Whether UCB has the legal authority to provide the data. For example, UCB may not have the legal authority because the medicine has been out-licensed to another company. Whether UCB considers it feasible to anonymise the data without compromising the privacy and confidentiality of research participants. For example, anonymisation of data from studies of rare diseases is more difficult to achieve. Whether UCB considers that there are any practical or technical constraints on providing access to the data. For example, imaging data will not be provided. Whether it is feasible for UCB to retrieve data and documents from repositories and archives, anonymize data, and redact personally identifiable information from relevant documents. In some cases, particularly for older studies, it may not be feasible to adequately anonymise datasets, and UCB may turn down requests on this basis.""",,57.6,14.4,288,26,6.5,130,5.6,1.4,28,12.5,3.1,62.5,508.5,13,17,28,29,20
Roche,$50bn,"Rituxan, Avastin, Herceptin","unclear / This is hard to code. Roche's policy PDF ""Roche Global Policy On Sharing Of Clinical Trials Data"" does not appear to make a clear statement about registration. It has a section header that mentions it, but the text only refers to ""summary reports"": ""Clinical Trial Registration and Posting of Results on Public Web SitesRoche is committed to providing comprehensive information on clinical trials conducted by Roche to healthcare professionals and to the public, regardless of the outcome of these trials. Roche posts summary reports on ClinicalTrials.gov (CT.gov) for all Roche-sponsored Phase I clinical trials in patients, all Phase II–IV interventional and observational clinical trials, and all Roche-sponsored interventional trials that use diagnostic products."" There is another mention related to registration in a second Roche policy document titled ""Roche Global Policy on Sharing of Clinical Study Information"" that reads: ""We publish information from our protocols and clinical study results information on clinical trial registries. Clinical trial registries are an important source of information for physicians and patients because they help them to know if a study is recruiting, ongoing or is completed. Clinical trial registries also help physicians and patients access results once available."" Again we do not view that as a clear commitment to register all trials. In addition, on the webpage ""Our Commitment to Data Sharing"", a third policy document containing information about Roche's commitments, (http://www.roche.com/research_and_development/who_we_are_how_we_work/clinical_trials/our_commitment_to_data_sharing.htm ) they say: ""Roche's clinical trials registry was launched in 2004 with the aim of ensuring researchers and other interested parties could access protocols and also the results of our Phase I to IV clinical studies"" and ""Roche is committed to sharing data from clinical trials and has registered and posted summary reports for trials involving patients on appropriate clinical registries since 2005."" Collectively this may mean that Roche register all trials, since 2005, but this is not made clear. This lack of clarity is made more problematic by the apparent conflict with the 2013 start date (see relevant field) for sharing all summary results: i.e., one could accept this vaguely worded commitment for 2005 as covering registration of all trials from 2005, but that would then naturally imply accepting that all summary results are shared from 2005 as well; however the parts of the Roche policy document (or rather, documents) that discuss results policy appear to suggest 2013 as the start date for all trials to share summary results. Therefore, although it is an edge case, this can only be realistically coded as unclear on registration, because it lacks a clear commitment to ""all"", and the most permissive/generous reading of the text produces a result that is inconsistent with other aspect of Roche's policies. ",no,no,no,yes,"unclear / This is hard to code. Roche's policy PDF ""Roche Global Policy On Sharing Of Clinical Trials Data"" does not appear to make a clear statement about registration. It has a section header that mentions it, but the text only refers to ""summary reports"": ""Clinical Trial Registration and Posting of Results on Public Web SitesRoche is committed to providing comprehensive information on clinical trials conducted by Roche to healthcare professionals and to the public, regardless of the outcome of these trials. Roche posts summary reports on ClinicalTrials.gov (CT.gov) for all Roche-sponsored Phase I clinical trials in patients, all Phase II–IV interventional and observational clinical trials, and all Roche-sponsored interventional trials that use diagnostic products."". In addition, on the webpage ""Our Commitment to Data Sharing"" (http://www.roche.com/research_and_development/who_we_are_how_we_work/clinical_trials/our_commitment_to_data_sharing.htm ) they say: ""Roche's clinical trials registry was launched in 2004 with the aim of ensuring researchers and other interested parties could access protocols and also the results of our Phase I to IV clinical studies"" and ""Roche is committed to sharing data from clinical trials and has registered and posted summary reports for trials involving patients on appropriate clinical registries since 2005."" Collectively this may mean that Roche register all trials, since 2005, but this is not made clear. ","2005 NOS This is hard to code. Roche's policy PDF ""Roche Global Policy On Sharing Of Clinical Trials Data"" does not appear to make a clear statement about registration. It has a section header that mentions it, but the text only refers to ""summary reports"": ""Clinical Trial Registration and Posting of Results on Public Web SitesRoche is committed to providing comprehensive information on clinical trials conducted by Roche to healthcare professionals and to the public, regardless of the outcome of these trials. Roche posts summary reports on ClinicalTrials.gov (CT.gov) for all Roche-sponsored Phase I clinical trials in patients, all Phase II–IV interventional and observational clinical trials, and all Roche-sponsored interventional trials that use diagnostic products."". In addition, on the webpage ""Our Commitment to Data Sharing"" (http://www.roche.com/research_and_development/who_we_are_how_we_work/clinical_trials/our_commitment_to_data_sharing.htm ) they say: ""Roche's clinical trials registry was launched in 2004 with the aim of ensuring researchers and other interested parties could access protocols and also the results of our Phase I to IV clinical studies"" and ""Roche is committed to sharing data from clinical trials and has registered and posted summary reports for trials involving patients on appropriate clinical registries since 2005."" Collectively this may mean that Roche register all trials, since 2005, but this is not made clear.  / 2005","yes / ""Roche is committed to providing comprehensive information on clinical trials conducted by Roche to healthcare professionals and to the public, regardless of the outcome of these trials. Roche posts summary reports on ClinicalTrials.gov (CT.gov) for all Roche-sponsored Phase I clinical trials in patients, all Phase II–IV interventional and observational clinical trials, and all Roche-sponsored interventional trials that use diagnostic products.""","no /  No timelines ""Roche posts summary reports on ClinicalTrials.gov (CT.gov) for all Roche-sponsored Phase I clinical trials in patients, all Phase II–IV interventional and observational clinical trials, and all Roche-sponsored interventional trials that use diagnostic products.""",no,NO,"yes /  ""Roche posts summary reports on ClinicalTrials.gov (CT.gov) for all Roche-sponsored Phase I clinical trials in patients, all Phase II–IV interventional and observational clinical trials, and all Roche-sponsored interventional trials that use diagnostic products.""",yes,yes,yes,"yes / ""Roche's clinical trials registry was launched in 2004 with the aim of ensuring researchers and other interested parties could access protocols and also the results of our Phase I to IV clinical studies. We established this site because the independent platforms available at the time did not enable us to publish all of the details we wished to share. Since this time the regulations governing existing independent registries have changed and we are now able to share all relevant protocols and information on these platforms. As such, we are working to transition the information contained on the Roche Clinical Trials Registry to the NIH ClinicalTrials.gov and the EMA EUdraCT platforms.""",no,"yes / ""Regardless of outcome, Roche commits to submit the primary clinical study results for publication in a peer- reviewed journal in a timely, objective and clinically meaningful manner.""","yes / ""Roche posts summary reports on ClinicalTrials.gov (CT.gov) for all Roche-sponsored Phase I clinical trials in patients, all Phase II–IV interventional and observational clinical trials, and all Roche-sponsored interventional trials that use diagnostic products.""","yes / ""Roche posts summary reports on ClinicalTrials.gov (CT.gov) for all Roche-sponsored Phase I clinical trials in patients, all Phase II–IV interventional and observational clinical trials, and all Roche-sponsored interventional trials that use diagnostic products.""",yes,"2013 NOS ""The policy set forth in this document was adopted on 17 April 2013 and entered into force on 1 June 2013."" Note previous years' policies had other dates (e.g. 2002) but the current document gives no insight on dates beyond 2013. In addition: ""This policy applies to Clinical Study Reports and summary reports that have been used for regulatory purposes since 1 January 1999. It will also apply to reports that have not been used for regulatory purposes and are finalized on or after 1 January 2013."" 1999 commitment covers limited set / 2013",yes,yes,"yes / Simple request process and share with the public, i.e. no CVs or project description. ""Firstly, we will make the reports that we write on the clinical trial (called Clinical study reports or CSRs, periodic safety reports, and clinical trial summary reports) available to members of the public on request."" ",,"yes / depends on date but scoring most complete commitment 2013 ""Roche established the processes we use today for managing Clinical Study Reports and the data from clinical trials in 1999. We will provide data from trials and Clinical Study Reports from studies conducted as far back as 1999 if those studies have been used for regulatory purposes. In certain circumstances we may be able to provide CSRs or other reports from trials conducted earlier.  For trials which were not used for regulatory purposes, we will provide CSRs from 1st January 2013."" However note this is discrepant with their Clinical Study Data Request page which reads: ""All phase 2 and 3 clinical studies or phase 4 studies that were used as part of a regulatory approval or where the product was terminated from development (all indications) with a first patient enrolled as of 1 January 1999 onwards. Roche is in the process of compiling a list of studies in scope. Roche will regularly update this list to add studies going back to January 1999. In the event that you cannot see a specific study in the Roche list, an Enquiry Form can be submitted to confirm the availability of the specific study"" and includes a commitment to share CSRs. However since CSR applications are open to all, including the public, not just academics requesting through CSDR, then for CSRs we have coded the commitment in their standalone policy document.","yes / depends on date but scoring most complete commitment 2013 ""Roche established the processes we use today for managing Clinical Study Reports and the data from clinical trials in 1999. We will provide data from trials and Clinical Study Reports from studies conducted as far back as 1999 if those studies have been used for regulatory purposes. In certain circumstances we may be able to provide CSRs or other reports from trials conducted earlier.  For trials which were not used for regulatory purposes, we will provide CSRs from 1st January 2013.""",no,yes,yes,"yes / depends on date but scoring most complete commitment 2013 ""Roche established the processes we use today for managing Clinical Study Reports and the data from clinical trials in 1999. We will provide data from trials and Clinical Study Reports from studies conducted as far back as 1999 if those studies have been used for regulatory purposes. In certain circumstances we may be able to provide CSRs or other reports from trials conducted earlier.  For trials which were not used for regulatory purposes, we will provide CSRs from 1st January 2013.""","yes / depends on date but scoring most complete commitment 2013 ""Roche established the processes we use today for managing Clinical Study Reports and the data from clinical trials in 1999. We will provide data from trials and Clinical Study Reports from studies conducted as far back as 1999 if those studies have been used for regulatory purposes. In certain circumstances we may be able to provide CSRs or other reports from trials conducted earlier.  For trials which were not used for regulatory purposes, we will provide CSRs from 1st January 2013.""",no,"Depends on date but scoring most complete commitment 2013 ""Roche established the processes we use today for managing Clinical Study Reports and the data from clinical trials in 1999. We will provide data from trials and Clinical Study Reports from studies conducted as far back as 1999 if those studies have been used for regulatory purposes. In certain circumstances we may be able to provide CSRs or other reports from trials conducted earlier.  For trials which were not used for regulatory purposes, we will provide CSRs from 1st January 2013."" / 2013",,yes,initiated since 1999 / 2000,no,no,"no / ""Exceptions... Phase 4 clinical studies conducted for non-registrational purposes or local affiliate studies."" ",yes,yes,"All phase 2 and 3 clinical studies or phase 4 studies that were used as part of a regulatory approval or where the product was terminated from development (all indications) with a first patient enrolled as of 1 January 1999 onwards. Roche is in the process of compiling a list of studies in scope. Roche will regularly update this list to add studies going back to January 1999.Clinical studies with a sample size of less than 50 patients or in rare diseases. This is because anonymisation of these data is more difficult to achieve. For these studies Roche will assess the feasibility of anonymisation as part of the review of enquiries. Phase 4 clinical studies conducted for non-registrational purposes or local affiliate studies.After the medicine studied has been approved by regulators for the indication in both the US and EU or terminated from development (all indications). 18 months after completion of the study report (to enable a publication to be submitted).When patients agreed to take part in Roche clinical studies they gave permission (through informed consent) to use their data to study the medicine or disease Roche were researching. Further research must therefore study the medicine or disease that was researched in the original studies. For future studies (2014 onwards) patients will be asked to give permission for broader research so other research may be possible with data from these studies. A condition of providing the data is that the external requester seeks publication of their research results. Roche are to be provided with a copy of the manuscript after journal submission for information. Roche may chose to provide the requester with comments on the document as a courtesy, but the external requester is not obliged to incorporate any feedback resulting from this review.",,0,0,0,36,9,180,44.8,11.2,224,20.5,5.1,102.5,506.5,42,10,3,19,21
Eisai Inc.,$5bn,"Aricept, Aloxi, Methycobal",yes,no,no,no,yes,no,,yes,no,no / no timeline given,no,no,no,UNCLEAR,no,,,,,,,,yes,yes,"yes / thru CSDR or to Eisai directly ""Eisai can provide access to full clinical study reports from Eisai sponsored trials on request. Please contact Eisai directly by clicking on the icon below to request access to clinical study reports and any other associated information."" also: ""For products and indications submitted and approved by EMA and FDA""",,no,no,no,yes,yes,no,no,no,"""- For products and indications submitted and approved by EMA and FDA, after 1st January 2014 and only after the primary manuscript describing the results has been accepted for publication. ""","POTENTIAL UNREASONABLE EXCLUSION IF THIS APPLIES TO CSRs ALSO: ""Data will be shared for trials included in dossiers submitted to and approved by FDA and EMA after 1st January 2014 and only after the primary manuscript describing the results has been accepted for publication, and only if clinical data disclosure will not lead to commercial competitive risk. In all cases data will not be shared if the privacy of patients cannot be safe guarded.""",yes,"""For products and indications submitted and approved by EMA and FDA, after 1st January 2014 and only after the primary manuscript describing the results has been accepted for publication. "" / 2012",no,no,yes,yes,yes,"see https://www.clinicalstudydatarequest.com/Study-Sponsors-eisai-Details.aspx and  ""Data will be shared for trials included in dossiers submitted to and approved by FDA and EMA after 1st January 2014 and only after the primary manuscript describing the results has been accepted for publication, and only if clinical data disclosure will not lead to commercial competitive risk. In all cases data will not be shared if the privacy of patients cannot be safe guarded.""",,40,10,200,7.5,1.9,37.5,21.6,5.4,108,29,7.2,145,490.5,27,31,20,12,22
Biogen,$11.5bn,"Tecfidera, Tysabri, Avonex",yes,no,no,no,yes,NO,,yes,"yes / they do one or more of all 3 of these methods, and within one year.","NO / they do one or more of all 3 of these methods, and within one year.","NO / they do one or more of all 3 of these methods, and within one year.",no,no,unclear,yes,yes,NO,NO,no,no,unclear,2005 / 2005,yes,yes,yes / LABORIOUS PROCESS LIKE IPD,,no,no,no,yes,yes,no,no,no,products and indications approved IN BOTH EU AND US after 2014 / 2012,,yes,products and indications approved IN BOTH EU AND US after 2014 / 2012,no,no,unclear,unclear,UNCLEAR,seems to require registrtation to find out policy,,40,10,200,18,4.5,90,23.2,5.8,116,14.5,3.6,72.5,478.5,23,21,14,23,23
Ipsen,$2bn,"Somatuline, Decapeptyl, Dysport",yes,no,no,no,yes,yes,2005 NOS / 2005,yes,yes / give no time commitment for unapproved products,no,no,NO,NO,yes,yes,yes,no,UNCLEAR,NO,NO,yes,2005 NOS / 2005,no,,,,,,,,,,,,,,no,,,,,,,,,57.6,14.4,288,36,9,180,0,0,0,0,0,0,468,11,9,30,32,24
Sanofi,$36.5bn,"Lantis, Plavix, Lovenox",yes,no,no,no,yes,unclear,unclear,yes,no / no timeline given,no,no,no,NO,yes,unclear,UNCLEAR,,,,,,,yes,yes,yes / LABORIOUS PROCESS LIKE IPD,,no,no,no,yes,yes,no,no,no,treatments approved since 2014 / 2012,"""Sanofi will make clinical trial data and full CSRs available from studies sponsored by Sanofi group of companies1, except Sanofi Pasteur, submitted to the US and EU regulatory agencies and where the product will be approved by both agencies on or after January 1, 2014. We will also make available trial data and full CSRs from vaccine studies sponsored by Sanofi Pasteur, submitted either to the US or EU regulatory agencies and where the product will be approved by either agency on or after January 1, 2014. For all trials conducted by the Sanofi group of companies, the requested trials must also have been accepted for publication.""",yes,treatments approved since 2014 / 2012,no,no,no,yes,no,"extensive, see site",,40,10,200,15,3.8,75,23.2,5.8,116,14.5,3.6,72.5,463.5,32,24,16,24,25
